celebrity,info,question,answer,section
Ingrid Bergman,"Ingrid Bergman was a renowned Swedish actress, born on August 29, 1915, in Stockholm, Sweden, who became a celebrated figure in American and international cinema.

### Early life and family background:
**Parents**: Ingrid's mother, Frieda (née Augustsson), was a concert pianist, and her father, Justus Bergman, was a physician. **Siblings**: She had one younger sister, the actress Märta Bergman. **Spouse**: Bergman was married three times; her first husband was the Swedish dentist Petter Lindström, her second, Italian director Roberto Rossellini, and her third, theatrical manager Lars Schmidt. **Children**: She had three daughters: Pia Lindström, Isabella Rossellini, and Ingrid Rossellini. **Schooling and early life events**: Bergman trained at the Royal Dramatic Theatre in Stockholm and faced challenges early on, including the death of her mother when she was just a teenager, pushing her towards a career in acting.

### Career Highlights and Collaborations:
Ingrid Bergman's career spanned several decades, marked by significant roles in classic films such as ""Casablanca"" (1942), where she starred opposite Humphrey Bogart, ""Notorious"" (1946), directed by Alfred Hitchcock, and ""Journey to Italy"" (1954) with Roberto Rossellini, whom she later married. Her collaborations included working with other iconic filmmakers and actors, solidifying her status as a leading lady in Hollywood and international cinema.

### Important Events and Recognitions:
Bergman received numerous accolades, including three Academy Awards for Best Actress, multiple Golden Globe Awards, and recognition at the Cannes Film Festival. Notably, she caused a scandal when she left her first husband for Rossellini, which led to significant public fallout but ultimately resulted in some of her most memorable performances.

### Legacy:
Ingrid Bergman is remembered as one of the greatest actresses in the history of film, celebrated for her talent, beauty, and depth in acting. Her influence continues today, inspiring generations of actors and filmmakers, and her films remain a high point of both Swedish cinema and Hollywood's Golden Age.",What personal controversy significantly impacted Ingrid Bergman's public image?,"Ingrid Bergman caused a scandal when she left her first husband for Roberto Rossellini, leading to significant public fallout.",Important Events and Recognitions
Marilyn Monroe,"Marilyn Monroe was an iconic American actress, model, and singer, born in Los Angeles, California, on June 1, 1926.

### Early life and family background:
**Parents**: Her mother, Gladys Pearl Baker, was a film cutter and her father was reportedly unknown but speculated to be Edward Mortensen. **Siblings**: Marilyn had one half-sister, Berniece Baker Miracle. **Spouse**: She was married three times, to James Dougherty, Joe DiMaggio, and Arthur Miller. **Children**: Monroe did not have any children. **Schooling and early life events**: Monroe spent much of her childhood in foster homes and an orphanage. She attended Van Nuys High School and began modeling while still in school.

### Career Highlights and Collaborations:
Monroe's career took off in the late 1940s, with significant performances in films like ""Gentlemen Prefer Blondes,"" ""Some Like It Hot,"" and ""The Seven Year Itch."" She worked with renowned directors such as Billy Wilder and is celebrated for her unique combination of beauty and comedic talent, which made her a major sex symbol in cinema.

### Important Events and Recognitions:
Monroe's life was marked by several poignant events, including her rise to fame, multiple marriages, and struggles with mental health. She received a Golden Globe Award for Best Actress in a Musical or Comedy for her role in ""Some Like It Hot."" Her tragic death on August 5, 1962, shocked the world and sparked numerous conspiracy theories and investigations.

### Legacy:
Marilyn Monroe remains a lasting symbol of Hollywood glamour and femininity, influencing countless artists and pop culture figures. Her films continue to be popular, and she is remembered not only for her talent but also as a complex figure navigating the challenges of fame, mental health, and gender in a demanding industry. Monroe's image and persona have endured through decades, securing her place as a cultural icon.",Where was Marilyn Monroe born?,"Marilyn Monroe was born in Los Angeles, California.",Basic Information
Marilyn Monroe,"Marilyn Monroe was an iconic American actress, model, and singer, born in Los Angeles, California, on June 1, 1926.

### Early life and family background:
**Parents**: Her mother, Gladys Pearl Baker, was a film cutter and her father was reportedly unknown but speculated to be Edward Mortensen. **Siblings**: Marilyn had one half-sister, Berniece Baker Miracle. **Spouse**: She was married three times, to James Dougherty, Joe DiMaggio, and Arthur Miller. **Children**: Monroe did not have any children. **Schooling and early life events**: Monroe spent much of her childhood in foster homes and an orphanage. She attended Van Nuys High School and began modeling while still in school.

### Career Highlights and Collaborations:
Monroe's career took off in the late 1940s, with significant performances in films like ""Gentlemen Prefer Blondes,"" ""Some Like It Hot,"" and ""The Seven Year Itch."" She worked with renowned directors such as Billy Wilder and is celebrated for her unique combination of beauty and comedic talent, which made her a major sex symbol in cinema.

### Important Events and Recognitions:
Monroe's life was marked by several poignant events, including her rise to fame, multiple marriages, and struggles with mental health. She received a Golden Globe Award for Best Actress in a Musical or Comedy for her role in ""Some Like It Hot."" Her tragic death on August 5, 1962, shocked the world and sparked numerous conspiracy theories and investigations.

### Legacy:
Marilyn Monroe remains a lasting symbol of Hollywood glamour and femininity, influencing countless artists and pop culture figures. Her films continue to be popular, and she is remembered not only for her talent but also as a complex figure navigating the challenges of fame, mental health, and gender in a demanding industry. Monroe's image and persona have endured through decades, securing her place as a cultural icon.",Did Marilyn Monroe have any siblings?,"Yes, she had one half-sister named Berniece Baker Miracle.",Early life and family background
Marilyn Monroe,"Marilyn Monroe was an iconic American actress, model, and singer, born in Los Angeles, California, on June 1, 1926.

### Early life and family background:
**Parents**: Her mother, Gladys Pearl Baker, was a film cutter and her father was reportedly unknown but speculated to be Edward Mortensen. **Siblings**: Marilyn had one half-sister, Berniece Baker Miracle. **Spouse**: She was married three times, to James Dougherty, Joe DiMaggio, and Arthur Miller. **Children**: Monroe did not have any children. **Schooling and early life events**: Monroe spent much of her childhood in foster homes and an orphanage. She attended Van Nuys High School and began modeling while still in school.

### Career Highlights and Collaborations:
Monroe's career took off in the late 1940s, with significant performances in films like ""Gentlemen Prefer Blondes,"" ""Some Like It Hot,"" and ""The Seven Year Itch."" She worked with renowned directors such as Billy Wilder and is celebrated for her unique combination of beauty and comedic talent, which made her a major sex symbol in cinema.

### Important Events and Recognitions:
Monroe's life was marked by several poignant events, including her rise to fame, multiple marriages, and struggles with mental health. She received a Golden Globe Award for Best Actress in a Musical or Comedy for her role in ""Some Like It Hot."" Her tragic death on August 5, 1962, shocked the world and sparked numerous conspiracy theories and investigations.

### Legacy:
Marilyn Monroe remains a lasting symbol of Hollywood glamour and femininity, influencing countless artists and pop culture figures. Her films continue to be popular, and she is remembered not only for her talent but also as a complex figure navigating the challenges of fame, mental health, and gender in a demanding industry. Monroe's image and persona have endured through decades, securing her place as a cultural icon.",Which renowned director did Marilyn Monroe work with?,She worked with renowned directors such as Billy Wilder.,Career Highlights and Collaborations
Marilyn Monroe,"Marilyn Monroe was an iconic American actress, model, and singer, born in Los Angeles, California, on June 1, 1926.

### Early life and family background:
**Parents**: Her mother, Gladys Pearl Baker, was a film cutter and her father was reportedly unknown but speculated to be Edward Mortensen. **Siblings**: Marilyn had one half-sister, Berniece Baker Miracle. **Spouse**: She was married three times, to James Dougherty, Joe DiMaggio, and Arthur Miller. **Children**: Monroe did not have any children. **Schooling and early life events**: Monroe spent much of her childhood in foster homes and an orphanage. She attended Van Nuys High School and began modeling while still in school.

### Career Highlights and Collaborations:
Monroe's career took off in the late 1940s, with significant performances in films like ""Gentlemen Prefer Blondes,"" ""Some Like It Hot,"" and ""The Seven Year Itch."" She worked with renowned directors such as Billy Wilder and is celebrated for her unique combination of beauty and comedic talent, which made her a major sex symbol in cinema.

### Important Events and Recognitions:
Monroe's life was marked by several poignant events, including her rise to fame, multiple marriages, and struggles with mental health. She received a Golden Globe Award for Best Actress in a Musical or Comedy for her role in ""Some Like It Hot."" Her tragic death on August 5, 1962, shocked the world and sparked numerous conspiracy theories and investigations.

### Legacy:
Marilyn Monroe remains a lasting symbol of Hollywood glamour and femininity, influencing countless artists and pop culture figures. Her films continue to be popular, and she is remembered not only for her talent but also as a complex figure navigating the challenges of fame, mental health, and gender in a demanding industry. Monroe's image and persona have endured through decades, securing her place as a cultural icon.",When did Marilyn Monroe pass away?,"Marilyn Monroe passed away on August 5, 1962.",Important Events and Recognitions
Nicole Kidman,"Nicole Kidman is an acclaimed Australian actress and producer, born on June 20, 1967, in Honolulu, Hawaii, USA.

### Early life and family background:
**Parents**: Nicole is the daughter of Janelle Ann (née Haylon), a nursing instructor, and Antony Kidman, a clinical psychologist and author. **Siblings**: She has one sibling, a younger sister named Antonia. **Spouse**: Kidman has been married to Keith Urban since 2006; she was previously married to Tom Cruise from 1990 to 2001. **Children**: She has four children: Bella and Connor (whom she adopted during her marriage to Cruise) and Sunday Rose and Faith Margaret (her biological daughters with Urban). **Schooling and early life events**: Nicole grew up in Sydney, Australia, where she took drama classes at the Australian Theatre for Young People and attended North Sydney Girls' High School. 

### Career Highlights and Collaborations:
Nicole Kidman began her career in Australia with films like ""Bush Christmas"" (1983) and gained international fame with ""Days of Thunder"" (1990) alongside Tom Cruise. She has collaborated with prominent directors such as Stanley Kubrick in ""Eyes Wide Shut"" (1999), Baz Luhrmann in ""Moulin Rouge!"" (2001), and Jean-Marc Vallée in ""Big Little Lies"" (2017-2019). Kidman has demonstrated her versatility in various genres ranging from drama to thriller and has produced several projects through her production company, Blossom Films.

### Important Events and Recognitions:
Throughout her career, Kidman has received numerous accolades, including an Academy Award for Best Actress for her role in ""The Hours"" (2002), multiple Golden Globe Awards, and a Primetime Emmy Award for her performance in ""Big Little Lies."" She has been honored with a star on the Hollywood Walk of Fame and is recognized for her contributions to film and television.

### Legacy:
Nicole Kidman is regarded as one of the most talented actresses of her generation, known for her ability to inhabit diverse roles with depth and authenticity. Her impact on the film industry goes beyond her performances, as she has also been a vocal advocate for women's rights and mental health awareness. Kidman's body of work continues to inspire aspiring actors and filmmakers worldwide.",What is Nicole Kidman's relationship with Keith Urban?,Nicole Kidman has been married to Keith Urban since 2006.,Basic Information
Nicole Kidman,"Nicole Kidman is an acclaimed Australian actress and producer, born on June 20, 1967, in Honolulu, Hawaii, USA.

### Early life and family background:
**Parents**: Nicole is the daughter of Janelle Ann (née Haylon), a nursing instructor, and Antony Kidman, a clinical psychologist and author. **Siblings**: She has one sibling, a younger sister named Antonia. **Spouse**: Kidman has been married to Keith Urban since 2006; she was previously married to Tom Cruise from 1990 to 2001. **Children**: She has four children: Bella and Connor (whom she adopted during her marriage to Cruise) and Sunday Rose and Faith Margaret (her biological daughters with Urban). **Schooling and early life events**: Nicole grew up in Sydney, Australia, where she took drama classes at the Australian Theatre for Young People and attended North Sydney Girls' High School. 

### Career Highlights and Collaborations:
Nicole Kidman began her career in Australia with films like ""Bush Christmas"" (1983) and gained international fame with ""Days of Thunder"" (1990) alongside Tom Cruise. She has collaborated with prominent directors such as Stanley Kubrick in ""Eyes Wide Shut"" (1999), Baz Luhrmann in ""Moulin Rouge!"" (2001), and Jean-Marc Vallée in ""Big Little Lies"" (2017-2019). Kidman has demonstrated her versatility in various genres ranging from drama to thriller and has produced several projects through her production company, Blossom Films.

### Important Events and Recognitions:
Throughout her career, Kidman has received numerous accolades, including an Academy Award for Best Actress for her role in ""The Hours"" (2002), multiple Golden Globe Awards, and a Primetime Emmy Award for her performance in ""Big Little Lies."" She has been honored with a star on the Hollywood Walk of Fame and is recognized for her contributions to film and television.

### Legacy:
Nicole Kidman is regarded as one of the most talented actresses of her generation, known for her ability to inhabit diverse roles with depth and authenticity. Her impact on the film industry goes beyond her performances, as she has also been a vocal advocate for women's rights and mental health awareness. Kidman's body of work continues to inspire aspiring actors and filmmakers worldwide.",How many children does Nicole Kidman have and what are their names?,Nicole Kidman has four children: Bella and Connor (adopted during her marriage to Tom Cruise) and Sunday Rose and Faith Margaret (biological daughters with Keith Urban).,Early life and family background
Nicole Kidman,"Nicole Kidman is an acclaimed Australian actress and producer, born on June 20, 1967, in Honolulu, Hawaii, USA.

### Early life and family background:
**Parents**: Nicole is the daughter of Janelle Ann (née Haylon), a nursing instructor, and Antony Kidman, a clinical psychologist and author. **Siblings**: She has one sibling, a younger sister named Antonia. **Spouse**: Kidman has been married to Keith Urban since 2006; she was previously married to Tom Cruise from 1990 to 2001. **Children**: She has four children: Bella and Connor (whom she adopted during her marriage to Cruise) and Sunday Rose and Faith Margaret (her biological daughters with Urban). **Schooling and early life events**: Nicole grew up in Sydney, Australia, where she took drama classes at the Australian Theatre for Young People and attended North Sydney Girls' High School. 

### Career Highlights and Collaborations:
Nicole Kidman began her career in Australia with films like ""Bush Christmas"" (1983) and gained international fame with ""Days of Thunder"" (1990) alongside Tom Cruise. She has collaborated with prominent directors such as Stanley Kubrick in ""Eyes Wide Shut"" (1999), Baz Luhrmann in ""Moulin Rouge!"" (2001), and Jean-Marc Vallée in ""Big Little Lies"" (2017-2019). Kidman has demonstrated her versatility in various genres ranging from drama to thriller and has produced several projects through her production company, Blossom Films.

### Important Events and Recognitions:
Throughout her career, Kidman has received numerous accolades, including an Academy Award for Best Actress for her role in ""The Hours"" (2002), multiple Golden Globe Awards, and a Primetime Emmy Award for her performance in ""Big Little Lies."" She has been honored with a star on the Hollywood Walk of Fame and is recognized for her contributions to film and television.

### Legacy:
Nicole Kidman is regarded as one of the most talented actresses of her generation, known for her ability to inhabit diverse roles with depth and authenticity. Her impact on the film industry goes beyond her performances, as she has also been a vocal advocate for women's rights and mental health awareness. Kidman's body of work continues to inspire aspiring actors and filmmakers worldwide.",Which production company has Nicole Kidman set up to produce her projects?,Nicole Kidman has set up a production company called Blossom Films.,Career Highlights and Collaborations
Nicole Kidman,"Nicole Kidman is an acclaimed Australian actress and producer, born on June 20, 1967, in Honolulu, Hawaii, USA.

### Early life and family background:
**Parents**: Nicole is the daughter of Janelle Ann (née Haylon), a nursing instructor, and Antony Kidman, a clinical psychologist and author. **Siblings**: She has one sibling, a younger sister named Antonia. **Spouse**: Kidman has been married to Keith Urban since 2006; she was previously married to Tom Cruise from 1990 to 2001. **Children**: She has four children: Bella and Connor (whom she adopted during her marriage to Cruise) and Sunday Rose and Faith Margaret (her biological daughters with Urban). **Schooling and early life events**: Nicole grew up in Sydney, Australia, where she took drama classes at the Australian Theatre for Young People and attended North Sydney Girls' High School. 

### Career Highlights and Collaborations:
Nicole Kidman began her career in Australia with films like ""Bush Christmas"" (1983) and gained international fame with ""Days of Thunder"" (1990) alongside Tom Cruise. She has collaborated with prominent directors such as Stanley Kubrick in ""Eyes Wide Shut"" (1999), Baz Luhrmann in ""Moulin Rouge!"" (2001), and Jean-Marc Vallée in ""Big Little Lies"" (2017-2019). Kidman has demonstrated her versatility in various genres ranging from drama to thriller and has produced several projects through her production company, Blossom Films.

### Important Events and Recognitions:
Throughout her career, Kidman has received numerous accolades, including an Academy Award for Best Actress for her role in ""The Hours"" (2002), multiple Golden Globe Awards, and a Primetime Emmy Award for her performance in ""Big Little Lies."" She has been honored with a star on the Hollywood Walk of Fame and is recognized for her contributions to film and television.

### Legacy:
Nicole Kidman is regarded as one of the most talented actresses of her generation, known for her ability to inhabit diverse roles with depth and authenticity. Her impact on the film industry goes beyond her performances, as she has also been a vocal advocate for women's rights and mental health awareness. Kidman's body of work continues to inspire aspiring actors and filmmakers worldwide.",What recognition did Nicole Kidman receive for her contributions to film and television?,Nicole Kidman has been honored with a star on the Hollywood Walk of Fame for her contributions to film and television.,Important Events and Recognitions
Cate Blanchett,"Cate Blanchett is an acclaimed Australian actress and producer, born on May 14, 1969, in Melbourne, Australia.

### Early life and family background: 
**Parents**: Cate’s father, Bob Blanchett, was a merchant navy officer, and her mother, June Blanchett, worked as a school teacher.  
**Siblings**: She has one brother, Bob Blanchett, and one sister, Genevieve Blanchett.  
**Spouse**: Cate is married to playwright and director Andrew Upton, whom she wed in 1997.  
**Children**: The couple has three children: Dashiell, Roman, and Ignatius.  
**Schooling and early life events**: Cate attended Ivanhoe Girls' Grammar School and later graduated from the University of Melbourne with a Bachelor of Fine Arts (Acting) in 1992. She began her career in theatre, which laid the foundation for her future in film.

### Career Highlights and Collaborations:
Cate Blanchett has had a remarkable career with standout performances in films such as ""Elizabeth,"" for which she received her first Academy Award nomination, and ""Blue Jasmine,"" which earned her an Oscar for Best Actress. She has collaborated with renowned directors such as Peter Jackson in ""The Lord of the Rings"" trilogy and Guillermo del Toro in ""Nightmare Alley."" Blanchett's versatility allows her to seamlessly transition between genres, leading to iconic roles in both indie films and major blockbusters.

### Important Events and Recognitions:
Throughout her career, Blanchett has received numerous awards and accolades, including two Academy Awards, three BAFTA Awards, and three Golden Globe Awards. She was also named a Knight of the Order of Arts and Letters in France in 2012 and has served as the president of the jury at the Cannes Film Festival. Additionally, she has been recognized for her advocacy work, particularly concerning women's rights and environmental issues.

### Legacy:
Cate Blanchett is regarded as one of the finest actresses of her generation, known for her commitment to her craft and her ability to inhabit a wide range of characters. Her performances have inspired audiences and other actors alike, cementing her place in cinematic history as a transformative figure in the film industry. Through her work, she has also advanced discussions on gender equity in Hollywood, contributing to a broader cultural conversation on representation in the arts.",Who are Cate Blanchett's children?,"Cate Blanchett has three children: Dashiell, Roman, and Ignatius.",Early life and family background
Cate Blanchett,"Cate Blanchett is an acclaimed Australian actress and producer, born on May 14, 1969, in Melbourne, Australia.

### Early life and family background: 
**Parents**: Cate’s father, Bob Blanchett, was a merchant navy officer, and her mother, June Blanchett, worked as a school teacher.  
**Siblings**: She has one brother, Bob Blanchett, and one sister, Genevieve Blanchett.  
**Spouse**: Cate is married to playwright and director Andrew Upton, whom she wed in 1997.  
**Children**: The couple has three children: Dashiell, Roman, and Ignatius.  
**Schooling and early life events**: Cate attended Ivanhoe Girls' Grammar School and later graduated from the University of Melbourne with a Bachelor of Fine Arts (Acting) in 1992. She began her career in theatre, which laid the foundation for her future in film.

### Career Highlights and Collaborations:
Cate Blanchett has had a remarkable career with standout performances in films such as ""Elizabeth,"" for which she received her first Academy Award nomination, and ""Blue Jasmine,"" which earned her an Oscar for Best Actress. She has collaborated with renowned directors such as Peter Jackson in ""The Lord of the Rings"" trilogy and Guillermo del Toro in ""Nightmare Alley."" Blanchett's versatility allows her to seamlessly transition between genres, leading to iconic roles in both indie films and major blockbusters.

### Important Events and Recognitions:
Throughout her career, Blanchett has received numerous awards and accolades, including two Academy Awards, three BAFTA Awards, and three Golden Globe Awards. She was also named a Knight of the Order of Arts and Letters in France in 2012 and has served as the president of the jury at the Cannes Film Festival. Additionally, she has been recognized for her advocacy work, particularly concerning women's rights and environmental issues.

### Legacy:
Cate Blanchett is regarded as one of the finest actresses of her generation, known for her commitment to her craft and her ability to inhabit a wide range of characters. Her performances have inspired audiences and other actors alike, cementing her place in cinematic history as a transformative figure in the film industry. Through her work, she has also advanced discussions on gender equity in Hollywood, contributing to a broader cultural conversation on representation in the arts.",What honor was bestowed upon Cate Blanchett in France in 2012?,Cate Blanchett was named a Knight of the Order of Arts and Letters in France in 2012.,Important Events and Recognitions
Jodie Foster,"Jodie Foster is an American actress, director, and producer, born in Los Angeles, California, on November 19, 1962. 

### Early life and family background: 
**Parents**: Jodie Foster was born to Evelyn Ella (née Almond) and Lucius Fisher Foster III, who worked as a corporate executive.  
**Siblings**: She has one sibling, an older brother named Buddy Foster.  
**Spouse**: Jodie Foster is married to Alexandra Hedison, an actress and director, whom she wed in 2014.  
**Children**: She has two sons, Charles Foster and Kit Foster.  
**Schooling and early life events**: Foster was a child prodigy who attended the Lycée Français de Los Angeles and later graduated from Yale University with a degree in literature. Growing up in a creative environment, she began acting at a young age, appearing in television shows and films, which laid the groundwork for her successful career.  

### Career Highlights and Collaborations:
Jodie Foster's career began with television roles in the 1970s, but she gained prominence with her performance in ""Taxi Driver"" (1976). She has collaborated with notable directors such as Martin Scorsese, Jonathan Demme, and Neil Jordan. Some of her other significant films include ""The Silence of the Lambs"" (1991), which earned her an Academy Award for Best Actress, ""Contact"" (1997), and ""The Brave One"" (2007), among others. Foster also transitioned to directing, with works like ""Little Man Tate"" (1991) and ""Money Monster"" (2016).  

### Important Events and Recognitions:
Foster has received numerous accolades throughout her career, including two Academy Awards, three BAFTA Awards, and Golden Globes. She was honored with the Cecil B. DeMille Award at the Golden Globes in 2018 for her lifetime achievements in film. Her influence extends to her advocacy for women's rights and LGBTQ+ issues, significantly impacting the industry and society.  

### Legacy:
Jodie Foster is often regarded as one of the most talented and respected actresses of her generation, known for her intelligence and depth in her roles. Her contributions to cinema, as an actor and director, as well as her work in advocating for various social causes, have solidified her legacy as a pioneering figure in Hollywood.","What educational institution did Jodie Foster graduate from, and what was her degree in?",Jodie Foster graduated from Yale University with a degree in literature.,Early life and family background
Jodie Foster,"Jodie Foster is an American actress, director, and producer, born in Los Angeles, California, on November 19, 1962. 

### Early life and family background: 
**Parents**: Jodie Foster was born to Evelyn Ella (née Almond) and Lucius Fisher Foster III, who worked as a corporate executive.  
**Siblings**: She has one sibling, an older brother named Buddy Foster.  
**Spouse**: Jodie Foster is married to Alexandra Hedison, an actress and director, whom she wed in 2014.  
**Children**: She has two sons, Charles Foster and Kit Foster.  
**Schooling and early life events**: Foster was a child prodigy who attended the Lycée Français de Los Angeles and later graduated from Yale University with a degree in literature. Growing up in a creative environment, she began acting at a young age, appearing in television shows and films, which laid the groundwork for her successful career.  

### Career Highlights and Collaborations:
Jodie Foster's career began with television roles in the 1970s, but she gained prominence with her performance in ""Taxi Driver"" (1976). She has collaborated with notable directors such as Martin Scorsese, Jonathan Demme, and Neil Jordan. Some of her other significant films include ""The Silence of the Lambs"" (1991), which earned her an Academy Award for Best Actress, ""Contact"" (1997), and ""The Brave One"" (2007), among others. Foster also transitioned to directing, with works like ""Little Man Tate"" (1991) and ""Money Monster"" (2016).  

### Important Events and Recognitions:
Foster has received numerous accolades throughout her career, including two Academy Awards, three BAFTA Awards, and Golden Globes. She was honored with the Cecil B. DeMille Award at the Golden Globes in 2018 for her lifetime achievements in film. Her influence extends to her advocacy for women's rights and LGBTQ+ issues, significantly impacting the industry and society.  

### Legacy:
Jodie Foster is often regarded as one of the most talented and respected actresses of her generation, known for her intelligence and depth in her roles. Her contributions to cinema, as an actor and director, as well as her work in advocating for various social causes, have solidified her legacy as a pioneering figure in Hollywood.",Name two directors with whom Jodie Foster has collaborated.,Jodie Foster has collaborated with Martin Scorsese and Jonathan Demme.,Career Highlights and Collaborations
Jodie Foster,"Jodie Foster is an American actress, director, and producer, born in Los Angeles, California, on November 19, 1962. 

### Early life and family background: 
**Parents**: Jodie Foster was born to Evelyn Ella (née Almond) and Lucius Fisher Foster III, who worked as a corporate executive.  
**Siblings**: She has one sibling, an older brother named Buddy Foster.  
**Spouse**: Jodie Foster is married to Alexandra Hedison, an actress and director, whom she wed in 2014.  
**Children**: She has two sons, Charles Foster and Kit Foster.  
**Schooling and early life events**: Foster was a child prodigy who attended the Lycée Français de Los Angeles and later graduated from Yale University with a degree in literature. Growing up in a creative environment, she began acting at a young age, appearing in television shows and films, which laid the groundwork for her successful career.  

### Career Highlights and Collaborations:
Jodie Foster's career began with television roles in the 1970s, but she gained prominence with her performance in ""Taxi Driver"" (1976). She has collaborated with notable directors such as Martin Scorsese, Jonathan Demme, and Neil Jordan. Some of her other significant films include ""The Silence of the Lambs"" (1991), which earned her an Academy Award for Best Actress, ""Contact"" (1997), and ""The Brave One"" (2007), among others. Foster also transitioned to directing, with works like ""Little Man Tate"" (1991) and ""Money Monster"" (2016).  

### Important Events and Recognitions:
Foster has received numerous accolades throughout her career, including two Academy Awards, three BAFTA Awards, and Golden Globes. She was honored with the Cecil B. DeMille Award at the Golden Globes in 2018 for her lifetime achievements in film. Her influence extends to her advocacy for women's rights and LGBTQ+ issues, significantly impacting the industry and society.  

### Legacy:
Jodie Foster is often regarded as one of the most talented and respected actresses of her generation, known for her intelligence and depth in her roles. Her contributions to cinema, as an actor and director, as well as her work in advocating for various social causes, have solidified her legacy as a pioneering figure in Hollywood.",How many Academy Awards has Jodie Foster won throughout her career?,Jodie Foster has won two Academy Awards throughout her career.,Important Events and Recognitions
Susan Sarandon,"Susan Sarandon is an acclaimed American actress and activist, born on October 4, 1946, in New York City, New York.

### Early life and family background: 
**Parents**: Her father, Philip Leslie Tomalin, was an advertising executive and her mother, Lenora (née Scott), was a homemaker.  
**Siblings**: Susan has one brother, a sister named Judith Sarandon.  
**Spouse**: Sarandon was in a long-term relationship with fellow actor Tim Robbins, though they never married. She has also been linked romantically to other figures, including filmmaker Franco Amurri.  
**Children**: She has three children: Eva Amurri, who is also an actress, and two sons, Jack Henry Robbins and Miles Robbins, from her relationship with Robbins.  
**Schooling and early life events**: Sarandon attended Edison High School in New Jersey and later went to The Catholic University of America in Washington, D.C., where she studied drama. She was encouraged to pursue acting from a young age, influenced by her mother and her early experiences in theatre.

### Career Highlights and Collaborations:
Susan Sarandon’s career took off in the early 1970s with a role in the cult classic ""The Rocky Horror Picture Show."" She gained critical acclaim for her performances in films such as ""Atlantic City,"" ""Thelma & Louise,"" and ""Dead Man Walking,"" the latter earning her an Academy Award for Best Actress. Over the years, she has collaborated with various prominent directors and actors, including David Mamet, the Coen Brothers, and Anthony Hopkins.

### Important Events and Recognitions:
Throughout her career, Sarandon has received numerous accolades, including an Academy Award, a BAFTA Award, and several Golden Globe Awards. She is also known for her activism, participating in various social and political causes, including women's rights, LGBTQ+ rights, and environmental issues.

### Legacy:
Susan Sarandon is remembered not only for her versatile acting capabilities and box office successes but also for her dedication to activism and social justice. Her contributions to cinema and society have made her an icon, inspiring countless artists and activists around the world.",What is Susan Sarandon known for?,Susan Sarandon is known for being an acclaimed American actress and activist.,Basic Information
Susan Sarandon,"Susan Sarandon is an acclaimed American actress and activist, born on October 4, 1946, in New York City, New York.

### Early life and family background: 
**Parents**: Her father, Philip Leslie Tomalin, was an advertising executive and her mother, Lenora (née Scott), was a homemaker.  
**Siblings**: Susan has one brother, a sister named Judith Sarandon.  
**Spouse**: Sarandon was in a long-term relationship with fellow actor Tim Robbins, though they never married. She has also been linked romantically to other figures, including filmmaker Franco Amurri.  
**Children**: She has three children: Eva Amurri, who is also an actress, and two sons, Jack Henry Robbins and Miles Robbins, from her relationship with Robbins.  
**Schooling and early life events**: Sarandon attended Edison High School in New Jersey and later went to The Catholic University of America in Washington, D.C., where she studied drama. She was encouraged to pursue acting from a young age, influenced by her mother and her early experiences in theatre.

### Career Highlights and Collaborations:
Susan Sarandon’s career took off in the early 1970s with a role in the cult classic ""The Rocky Horror Picture Show."" She gained critical acclaim for her performances in films such as ""Atlantic City,"" ""Thelma & Louise,"" and ""Dead Man Walking,"" the latter earning her an Academy Award for Best Actress. Over the years, she has collaborated with various prominent directors and actors, including David Mamet, the Coen Brothers, and Anthony Hopkins.

### Important Events and Recognitions:
Throughout her career, Sarandon has received numerous accolades, including an Academy Award, a BAFTA Award, and several Golden Globe Awards. She is also known for her activism, participating in various social and political causes, including women's rights, LGBTQ+ rights, and environmental issues.

### Legacy:
Susan Sarandon is remembered not only for her versatile acting capabilities and box office successes but also for her dedication to activism and social justice. Her contributions to cinema and society have made her an icon, inspiring countless artists and activists around the world.",How many siblings does Susan Sarandon have?,Susan Sarandon has one brother and one sister named Judith Sarandon.,Early life and family background
